file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00035_10446.650-10449.100,འཇིག་རྟེན་འདི་དང་འཇིག་རྟེན་ཕ་རོལ་ཏུ་ཉི་མ་དང་ཟླ་བ་འདི་ཉིད་ལ།  ,'jig rten 'di dang 'jig rten pha rol tu nyi ma dang zla ba 'di nyid la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00035_10446.650-10449.100.wav,STT_TT,3,61,2.450000000000728,wav16k/STT_TT00035_10446.650-10449.100.wav,འཇིག་རྟེན་འདི་དང་འཇིག་རྟེན་ཕ་རོལ་ཏུ་ཉི་མ་དང་།ཟླ་བ་འདི་ཉིད་དང་།
STT_NS_M0025_0225_1839023_to_1845711,ཡིན་དུས་ཙམ་པ་ལ་སོ་སོ་ཕ་མ་ཡི་གནས་སྟངས་ལ་བལྟ་ཡ་གལ་ཆེན་པོ་རེད་བསམ་གི་འདུག་རཱ། ང་འདྲ་བོ་ཆ་བཞག་ན་ཕ་མ་གནས་སྟངས་ལ་ཡ་ཡུད་བལྟ་གི་ཡོད་རཱ། ཨེ་ནས་བཀྲ་ཤིས་དབང་ཅན་ཁྱོད་བི་ལྟ་གི་ཡོད་རྒྱུ་རེད།  ,yin dus tsam pa la so so pha ma yi gnas stangs la blta ya gal chen po red bsam gi 'dug rA/_nga 'dra bo cha bzhag na pha ma gnas stangs la ya yud blta gi yod rA/_e nas bkra shis dbang can khyod bi lta gi yod rgyu red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0025_0225_1839023_to_1845711.wav,STT_NS,3,178,6.688,wav16k/STT_NS_M0025_0225_1839023_to_1845711.wav,ཡིན་དུས་ཙམ་པ་ལ་སོ་སོའི་ཕ་མ་ཡི་གནས་སྟངས་ལ་ལྟ་ཡ་གལ་ཆེན་པོ་རེད་བསམ་གི་འདུག་རཱ། ང་འདྲ་བོར་ཆ་བཞག་ན་ཕ་མ་ཡི་གནས་སྟངས་ལ་ཡ་ཡུད་ལྟ་ཡི་ཡོད་རཱ། ཨེ་ནས་བཀྲ་ཤིས་དབྱངས་ཅན་མཁྱོན་པི་ལྟ་ཡི་ཡོད་ཀྱི་རེད།
STT_TT00043_00272.650-00274.050,གང་འགྲོ་མེད་པའི་རས་གོས་འདི།  ,gang 'gro med pa'i ras gos 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00043_00272.650-00274.050.wav,STT_TT,3,29,1.400000000000034,wav16k/STT_TT00043_00272.650-00274.050.wav,དང་གྲོ་མེད་པའི་རས་གོས་འདི།
STT_TT00043_01191.700-01193.100,རང་བཞིན་རྣམ་དག་ཡིན་པའི་ཐོག་ལ།  ,rang bzhin rnam dag yin pa'i thog la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00043_01191.700-01193.100.wav,STT_TT,3,31,1.3999999999998636,wav16k/STT_TT00043_01191.700-01193.100.wav,རང་བཞིན་རྣམ་དག་ཡིན་པའི་ཐོག་ལ།
STT_TT00046_01305.400-01306.100,ཉོན་མོངས་ཀིས།  ,nyon mongs kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00046_01305.400-01306.100.wav,STT_TT,3,15,0.6999999999998181,wav16k/STT_TT00046_01305.400-01306.100.wav,ཉོན་མོངས་ཀི་
STT_TT00044_01470.400-01470.900,མི་ཆོག་པ་ཡིན།  ,mi chog pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00044_01470.400-01470.900.wav,STT_TT,3,15,0.5,wav16k/STT_TT00044_01470.400-01470.900.wav,མི་ཆོག་པ་ཡིན།
STT_TT00044_00431.900-00432.850,བླང་དོར་གི་གནས།  ,blang dor gi gnas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00044_00431.900-00432.850.wav,STT_TT,3,17,0.9500000000000456,wav16k/STT_TT00044_00431.900-00432.850.wav,བླང་དོར་གི་གནས།
STT_TT00047_04599.300-04600.700,འདི་ག་རེ་ཟེར་དགོས་རེད། ལྟོས་གྲུབ་མ་རེད་ཟེ།  ,'di ga re zer dgos red/_ltos grub ma red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00047_04599.300-04600.700.wav,STT_TT,3,44,1.3999999999996362,wav16k/STT_TT00047_04599.300-04600.700.wav,ག་རེ་ཟེར་དགོས་རེད། ལྟོས་གྲུབ་མ་རེད་ཟེ།
STT_TT00047_05142.200-05144.050,རྐྱེན་འདིས་བྱུང་བ་རེད།  ,rkyen 'dis byung ba red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00047_05142.200-05144.050.wav,STT_TT,3,24,1.850000000000364,wav16k/STT_TT00047_05142.200-05144.050.wav,རྐྱེན་འདིས་བྱུང་བ་རེད།
STT_TT00044_00500.450-00501.150,འདི།  ,'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00044_00500.450-00501.150.wav,STT_TT,3,6,0.6999999999999886,wav16k/STT_TT00044_00500.450-00501.150.wav,འདིི།
STT_TT00044_07051.100-07053.100,ཁོ་ག་རེ་ཟེར་དགོས། ཁོ་དཔེ་གཙོ་ཆེ་བ་དེ་ཆགས་ཀི་འདུག་གཱ།  ,kho ga re zer dgos/_kho dpe gtso che ba de chags ki 'dug gA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00044_07051.100-07053.100.wav,STT_TT,3,54,2.0,wav16k/STT_TT00044_07051.100-07053.100.wav,ཁོ་ག་རེ་ཟེར་དགོས་རེད། ཁོ་དཔེ་གཙོ་ཆེ་བ་འདྲ་བོ་ཆགས་ཀི་འདུག་ག
STT_TT00043_00813.650-00815.050,དེ་འདྲ་ཅིག་གིས་ང་ཚོ་མི་ཚེ་སྐྱེལ་བསྡད་ཀི་འདུག་གཱ།  ,de 'dra cig gis nga tsho mi tshe skyel bsdad ki 'dug gA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00043_00813.650-00815.050.wav,STT_TT,3,50,1.3999999999999773,wav16k/STT_TT00043_00813.650-00815.050.wav,དེ་འདྲའི་ཅིག་གི་ང་ཚོ་མི་ཚེ་སྐྱེལ་བསྡད་ཀི་འདུག་ག
